Subject	Block	Trial	StimType	StimCategory	Stimulus	ACC	RESP	Sound	RT
1	1	1	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.489
1	1	2	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.395
1	1	3	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.440
1	1	4	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.886
1	1	5	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.884
1	1	6	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.352
1	1	7	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.298
1	1	8	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.435
1	1	9	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.487
1	1	10	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.480
1	1	11	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.436
1	1	12	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.245
1	1	13	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.400
1	1	14	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.185
1	1	15	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.887
1	1	16	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.358
1	1	17	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.287
1	1	18	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.333
1	1	19	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.404
1	1	20	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.356
1	1	21	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.199
1	1	22	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.249
1	1	23	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.120
1	1	24	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.245
1	1	25	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.397
1	1	26	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.351
1	1	27	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.189
1	1	28	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.145
1	1	29	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.055
1	1	30	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.124
1	1	31	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.117
1	1	32	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.197
1	1	33	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.233
1	1	34	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.383
1	1	35	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.340
1	1	36	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.247
1	1	37	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.290
1	1	38	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.301
1	1	39	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.264
1	1	40	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.157
1	1	41	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.999
1	1	42	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.216
1	1	43	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.232
1	1	44	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.071
1	1	45	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.052
1	1	46	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.095
1	1	47	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.133
1	1	48	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.085
1	1	49	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.161
1	1	50	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.291
1	1	51	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.267
1	1	52	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.288
1	1	53	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.199
1	1	54	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.199
1	1	55	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.217
1	1	56	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.158
1	1	57	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.307
1	1	58	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.135
1	1	59	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.228
1	1	60	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.047
1	1	61	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.004
1	1	62	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.075
1	1	63	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.389
1	1	64	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.100
1	1	65	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.166
1	1	66	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.118
1	1	67	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.194
1	1	68	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.052
1	1	69	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.069
1	1	70	standard	PL	ba_base_pl_w288.avi	0	f	A	1.133
1	1	71	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.142
1	1	72	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.131
1	1	73	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.293
1	1	74	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.216
1	1	75	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.159
1	1	76	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.150
1	1	77	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.119
1	1	78	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.219
1	1	79	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.013
1	1	80	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.007
1	1	81	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.332
1	1	82	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.128
1	1	83	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.231
1	1	84	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.079
1	1	85	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.166
1	1	86	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.206
1	1	87	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.191
1	1	88	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.149
1	1	89	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.154
1	1	90	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.100
1	1	91	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.264
1	1	92	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.101
1	1	93	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.124
1	1	94	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.181
1	1	95	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.903
1	1	96	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.190
