Subject,Block,Trial,StimType,StimCategory,Stimulus,ACC,RESP,Sound,RT
Test4,1,1,standard,PIX,ba_base_pix.avi,1,j,BA,1.924
Test4,1,2,oddball,PIX,ba_redu_pix.avi,0,j,BA,1.905
Test4,1,3,oddball,PIX,ba_redu_pix.avi,1,f,A,1.507
Test4,1,4,oddball,PIX,ba_redu_pix.avi,1,f,A,1.899
Test4,1,5,oddball,PIX,ba_redu_pix.avi,0,j,BA,1.33
Test4,1,6,standard,PIX,ba_base_pix.avi,1,j,BA,1.542
Test4,1,7,standard,PIX,ba_base_pix.avi,1,j,BA,1.526
Test4,1,8,standard,PIX,ba_base_pix.avi,1,j,BA,1.515
Test4,1,9,standard,PIX,ba_base_pix.avi,1,j,BA,1.518
Test4,1,10,standard,PIX,ba_base_pix.avi,1,j,BA,1.897
Test4,1,11,oddball,PIX,ba_redu_pix.avi,0,j,BA,1.896
Test4,1,12,standard,PIX,ba_base_pix.avi,1,j,BA,1.478
Test4,1,13,standard,PIX,ba_base_pix.avi,1,j,BA,1.492
Test4,1,14,oddball,PIX,ba_redu_pix.avi,1,f,A,1.595
Test4,1,15,standard,PIX,ba_base_pix.avi,1,j,BA,1.539
Test4,1,16,oddball,PIX,ba_redu_pix.avi,1,f,A,1.905
Test4,1,17,standard,PIX,ba_base_pix.avi,1,j,BA,1.509
Test4,1,18,oddball,PIX,ba_redu_pix.avi,1,f,A,1.541
Test4,1,19,standard,PIX,ba_base_pix.avi,1,j,BA,1.338
Test4,1,20,oddball,PIX,ba_redu_pix.avi,1,f,A,1.904
Test4,1,21,standard,PIX,ba_base_pix.avi,1,j,BA,1.442
Test4,1,22,standard,PIX,ba_base_pix.avi,1,j,BA,1.388
Test4,1,23,standard,PIX,ba_base_pix.avi,1,j,BA,1.302
Test4,1,24,oddball,PIX,ba_redu_pix.avi,1,f,A,1.547
Test4,1,25,standard,PIX,ba_base_pix.avi,1,j,BA,1.537
Test4,1,26,oddball,PIX,ba_redu_pix.avi,1,f,A,1.384
Test4,1,27,oddball,PIX,ba_redu_pix.avi,1,f,A,1.41
Test4,1,28,standard,PIX,ba_base_pix.avi,1,j,BA,1.276
Test4,1,29,standard,PIX,ba_base_pix.avi,1,j,BA,1.353
Test4,1,30,standard,PIX,ba_base_pix.avi,1,j,BA,1.33
Test4,1,31,standard,PIX,ba_base_pix.avi,1,j,BA,1.445
Test4,1,32,standard,PIX,ba_base_pix.avi,1,j,BA,1.35
Test4,1,33,oddball,PIX,ba_redu_pix.avi,1,f,A,1.372
Test4,1,34,standard,PIX,ba_base_pix.avi,1,j,BA,1.476
Test4,1,35,standard,PIX,ba_base_pix.avi,1,j,BA,1.447
Test4,1,36,oddball,PIX,ba_redu_pix.avi,1,f,A,1.491
Test4,1,37,oddball,PIX,ba_redu_pix.avi,1,f,A,1.546
Test4,1,38,oddball,PIX,ba_redu_pix.avi,0,j,BA,1.414
Test4,1,39,oddball,PIX,ba_redu_pix.avi,1,f,A,1.343
Test4,1,40,oddball,PIX,ba_redu_pix.avi,1,f,A,1.477
