Trial,Stimulus,StimType
1,ba_redu_pl.mov,oddball
2,ba_redu_pl.mov,oddball
3,ba_redu_pl.mov,oddball
4,ba_redu_pl.mov,oddball
5,ba_redu_pl.mov,oddball
6,ba_redu_pl.mov,oddball
7,ba_redu_pl.mov,oddball
8,ba_redu_pl.mov,oddball
9,ba_redu_pl.mov,oddball
10,ba_redu_pl.mov,oddball
11,ba_redu_pl.mov,oddball
12,ba_redu_pl.mov,oddball
13,ba_redu_pl.mov,oddball
14,ba_redu_pl.mov,oddball
15,ba_redu_pl.mov,oddball
16,ba_redu_pl.mov,oddball
17,ba_redu_pl.mov,oddball
18,ba_redu_pl.mov,oddball
19,ba_redu_pl.mov,oddball
20,ba_redu_pl.mov,oddball
21,ba_base_pl.mov,standard
22,ba_base_pl.mov,standard
23,ba_base_pl.mov,standard
24,ba_base_pl.mov,standard
25,ba_base_pl.mov,standard
26,ba_base_pl.mov,standard
27,ba_base_pl.mov,standard
28,ba_base_pl.mov,standard
29,ba_base_pl.mov,standard
30,ba_base_pl.mov,standard
31,ba_base_pl.mov,standard
32,ba_base_pl.mov,standard
33,ba_base_pl.mov,standard
34,ba_base_pl.mov,standard
35,ba_base_pl.mov,standard
36,ba_base_pl.mov,standard
37,ba_base_pl.mov,standard
38,ba_base_pl.mov,standard
39,ba_base_pl.mov,standard
40,ba_base_pl.mov,standard
41,ba_base_pl.mov,standard
42,ba_base_pl.mov,standard
43,ba_base_pl.mov,standard
44,ba_base_pl.mov,standard
45,ba_base_pl.mov,standard
46,ba_base_pl.mov,standard
47,ba_base_pl.mov,standard
48,ba_base_pl.mov,standard
49,ba_base_pl.mov,standard
50,ba_base_pl.mov,standard
51,ba_base_pl.mov,standard
52,ba_base_pl.mov,standard
53,ba_base_pl.mov,standard
54,ba_base_pl.mov,standard
55,ba_base_pl.mov,standard
56,ba_base_pl.mov,standard
57,ba_base_pl.mov,standard
58,ba_base_pl.mov,standard
59,ba_base_pl.mov,standard
60,ba_base_pl.mov,standard
61,ba_base_pl.mov,standard
62,ba_base_pl.mov,standard
63,ba_base_pl.mov,standard
64,ba_base_pl.mov,standard
65,ba_base_pl.mov,standard
66,ba_base_pl.mov,standard
67,ba_base_pl.mov,standard
68,ba_base_pl.mov,standard
69,ba_base_pl.mov,standard
70,ba_base_pl.mov,standard
71,ba_base_pl.mov,standard
72,ba_base_pl.mov,standard
73,ba_base_pl.mov,standard
74,ba_base_pl.mov,standard
75,ba_base_pl.mov,standard
76,ba_base_pl.mov,standard
77,ba_base_pl.mov,standard
78,ba_base_pl.mov,standard
79,ba_base_pl.mov,standard
80,ba_base_pl.mov,standard
81,ba_base_pl.mov,standard
82,ba_base_pl.mov,standard
83,ba_base_pl.mov,standard
84,ba_base_pl.mov,standard
85,ba_base_pl.mov,standard
86,ba_base_pl.mov,standard
87,ba_base_pl.mov,standard
88,ba_base_pl.mov,standard
89,ba_base_pl.mov,standard
90,ba_base_pl.mov,standard
91,ba_base_pl.mov,standard
92,ba_base_pl.mov,standard
93,ba_base_pl.mov,standard
94,ba_base_pl.mov,standard
95,ba_base_pl.mov,standard
96,ba_base_pl.mov,standard
97,ba_base_pl.mov,standard
98,ba_base_pl.mov,standard
99,ba_base_pl.mov,standard
100,ba_base_pl.mov,standard
