Trial,Stimulus,StimType,StimCategory,VidWidth,VidHeight
1,ba_redu_face_w960.avi,oddball,AV,960,720
2,ba_redu_face_w960.avi,oddball,AV,960,720
3,ba_redu_face_w960.avi,oddball,AV,960,720
4,ba_redu_face_w960.avi,oddball,AV,960,720
5,ba_redu_face_w960.avi,oddball,AV,960,720
6,ba_redu_face_w960.avi,oddball,AV,960,720
7,ba_redu_face_w960.avi,oddball,AV,960,720
8,ba_redu_face_w960.avi,oddball,AV,960,720
9,ba_redu_face_w960.avi,oddball,AV,960,720
10,ba_base_face_w960.avi,standard,AV,960,720
11,ba_base_face_w960.avi,standard,AV,960,720
12,ba_base_face_w960.avi,standard,AV,960,720
13,ba_base_face_w960.avi,standard,AV,960,720
14,ba_base_face_w960.avi,standard,AV,960,720
15,ba_base_face_w960.avi,standard,AV,960,720
16,ba_base_face_w960.avi,standard,AV,960,720
17,ba_base_face_w960.avi,standard,AV,960,720
18,ba_base_face_w960.avi,standard,AV,960,720
19,ba_redu_pl_w288.avi,oddball,PL,288,192
20,ba_redu_pl_w288.avi,oddball,PL,288,192
21,ba_redu_pl_w288.avi,oddball,PL,288,192
22,ba_redu_pl_w288.avi,oddball,PL,288,192
23,ba_redu_pl_w288.avi,oddball,PL,288,192
24,ba_redu_pl_w288.avi,oddball,PL,288,192
25,ba_redu_pl_w288.avi,oddball,PL,288,192
26,ba_redu_pl_w288.avi,oddball,PL,288,192
27,ba_redu_pl_w288.avi,oddball,PL,288,192
28,ba_base_pl_w288.avi,standard,PL,288,192
29,ba_base_pl_w288.avi,standard,PL,288,192
30,ba_base_pl_w288.avi,standard,PL,288,192
31,ba_base_pl_w288.avi,standard,PL,288,192
32,ba_base_pl_w288.avi,standard,PL,288,192
33,ba_base_pl_w288.avi,standard,PL,288,192
34,ba_base_pl_w288.avi,standard,PL,288,192
35,ba_base_pl_w288.avi,standard,PL,288,192
36,ba_base_pl_w288.avi,standard,PL,288,192
37,ba_redu_pix_w960.avi,oddball,PIX,960,720
38,ba_redu_pix_w960.avi,oddball,PIX,960,720
39,ba_redu_pix_w960.avi,oddball,PIX,960,720
40,ba_redu_pix_w960.avi,oddball,PIX,960,720
41,ba_redu_pix_w960.avi,oddball,PIX,960,720
42,ba_redu_pix_w960.avi,oddball,PIX,960,720
43,ba_redu_pix_w960.avi,oddball,PIX,960,720
44,ba_redu_pix_w960.avi,oddball,PIX,960,720
45,ba_redu_pix_w960.avi,oddball,PIX,960,720
46,ba_base_pix_w960.avi,standard,PIX,960,720
47,ba_base_pix_w960.avi,standard,PIX,960,720
48,ba_base_pix_w960.avi,standard,PIX,960,720
49,ba_base_pix_w960.avi,standard,PIX,960,720
50,ba_base_pix_w960.avi,standard,PIX,960,720
51,ba_base_pix_w960.avi,standard,PIX,960,720
52,ba_base_pix_w960.avi,standard,PIX,960,720
53,ba_base_pix_w960.avi,standard,PIX,960,720
54,ba_base_pix_w960.avi,standard,PIX,960,720
