Trial,Stimulus,StimType,StimCategory,VidWidth,VidHeight
1,ba_redu_face_w960.avi,oddball,AV,960,720
2,ba_redu_face_w960.avi,oddball,AV,960,720
3,ba_base_face_w960.avi,standard,AV,960,720
4,ba_base_face_w960.avi,standard,AV,960,720
5,ba_redu_pl_w288.avi,oddball,PL,288,192
6,ba_redu_pl_w288.avi,oddball,PL,288,192
7,ba_base_pl_w288.avi,standard,PL,288,192
8,ba_base_pl_w288.avi,standard,PL,288,192
9,ba_redu_pix_w960.avi,oddball,PIX,960,720
10,ba_redu_pix_w960.avi,oddball,PIX,960,720
11,ba_base_pix_w960.avi,standard,PIX,960,720
12,ba_base_pix_w960.avi,standard,PIX,960,720
