Trial,Stimulus,StimType,StimCategory
1,ba_redu_pix.avi,oddball,PIX
2,ba_redu_pix.avi,oddball,PIX
3,ba_redu_pix.avi,oddball,PIX
4,ba_redu_pix.avi,oddball,PIX
5,ba_redu_pix.avi,oddball,PIX
6,ba_redu_pix.avi,oddball,PIX
7,ba_redu_pix.avi,oddball,PIX
8,ba_redu_pix.avi,oddball,PIX
9,ba_redu_pix.avi,oddball,PIX
10,ba_redu_pix.avi,oddball,PIX
11,ba_redu_pix.avi,oddball,PIX
12,ba_redu_pix.avi,oddball,PIX
13,ba_redu_pix.avi,oddball,PIX
14,ba_redu_pix.avi,oddball,PIX
15,ba_redu_pix.avi,oddball,PIX
16,ba_redu_pix.avi,oddball,PIX
17,ba_redu_pix.avi,oddball,PIX
18,ba_redu_pix.avi,oddball,PIX
19,ba_redu_pix.avi,oddball,PIX
20,ba_redu_pix.avi,oddball,PIX
21,ba_redu_pix.avi,oddball,PIX
22,ba_redu_pix.avi,oddball,PIX
23,ba_redu_pix.avi,oddball,PIX
24,ba_redu_pix.avi,oddball,PIX
25,ba_redu_pix.avi,oddball,PIX
26,ba_redu_pix.avi,oddball,PIX
27,ba_redu_pix.avi,oddball,PIX
28,ba_redu_pix.avi,oddball,PIX
29,ba_redu_pix.avi,oddball,PIX
30,ba_redu_pix.avi,oddball,PIX
31,ba_redu_pix.avi,oddball,PIX
32,ba_redu_pix.avi,oddball,PIX
33,ba_redu_pix.avi,oddball,PIX
34,ba_redu_pix.avi,oddball,PIX
35,ba_redu_pix.avi,oddball,PIX
36,ba_redu_pix.avi,oddball,PIX
37,ba_redu_pix.avi,oddball,PIX
38,ba_redu_pix.avi,oddball,PIX
39,ba_redu_pix.avi,oddball,PIX
40,ba_redu_pix.avi,oddball,PIX
41,ba_redu_pix.avi,oddball,PIX
42,ba_redu_pix.avi,oddball,PIX
43,ba_redu_pix.avi,oddball,PIX
44,ba_redu_pix.avi,oddball,PIX
45,ba_redu_pix.avi,oddball,PIX
46,ba_redu_pix.avi,oddball,PIX
47,ba_redu_pix.avi,oddball,PIX
48,ba_redu_pix.avi,oddball,PIX
49,ba_redu_pix.avi,oddball,PIX
50,ba_redu_pix.avi,oddball,PIX
51,ba_base_pix.avi,standard,PIX
52,ba_base_pix.avi,standard,PIX
53,ba_base_pix.avi,standard,PIX
54,ba_base_pix.avi,standard,PIX
55,ba_base_pix.avi,standard,PIX
56,ba_base_pix.avi,standard,PIX
57,ba_base_pix.avi,standard,PIX
58,ba_base_pix.avi,standard,PIX
59,ba_base_pix.avi,standard,PIX
60,ba_base_pix.avi,standard,PIX
61,ba_base_pix.avi,standard,PIX
62,ba_base_pix.avi,standard,PIX
63,ba_base_pix.avi,standard,PIX
64,ba_base_pix.avi,standard,PIX
65,ba_base_pix.avi,standard,PIX
66,ba_base_pix.avi,standard,PIX
67,ba_base_pix.avi,standard,PIX
68,ba_base_pix.avi,standard,PIX
69,ba_base_pix.avi,standard,PIX
70,ba_base_pix.avi,standard,PIX
71,ba_base_pix.avi,standard,PIX
72,ba_base_pix.avi,standard,PIX
73,ba_base_pix.avi,standard,PIX
74,ba_base_pix.avi,standard,PIX
75,ba_base_pix.avi,standard,PIX
76,ba_base_pix.avi,standard,PIX
77,ba_base_pix.avi,standard,PIX
78,ba_base_pix.avi,standard,PIX
79,ba_base_pix.avi,standard,PIX
80,ba_base_pix.avi,standard,PIX
81,ba_base_pix.avi,standard,PIX
82,ba_base_pix.avi,standard,PIX
83,ba_base_pix.avi,standard,PIX
84,ba_base_pix.avi,standard,PIX
85,ba_base_pix.avi,standard,PIX
86,ba_base_pix.avi,standard,PIX
87,ba_base_pix.avi,standard,PIX
88,ba_base_pix.avi,standard,PIX
89,ba_base_pix.avi,standard,PIX
90,ba_base_pix.avi,standard,PIX
91,ba_base_pix.avi,standard,PIX
92,ba_base_pix.avi,standard,PIX
93,ba_base_pix.avi,standard,PIX
94,ba_base_pix.avi,standard,PIX
95,ba_base_pix.avi,standard,PIX
96,ba_base_pix.avi,standard,PIX
97,ba_base_pix.avi,standard,PIX
98,ba_base_pix.avi,standard,PIX
99,ba_base_pix.avi,standard,PIX
100,ba_base_pix.avi,standard,PIX
