Trial,Stimulus,StimType,StimCategory
1,ba_redu_pl.avi,oddball,PL
2,ba_redu_pl.avi,oddball,PL
3,ba_redu_pl.avi,oddball,PL
4,ba_redu_pl.avi,oddball,PL
5,ba_redu_pl.avi,oddball,PL
6,ba_redu_pl.avi,oddball,PL
7,ba_redu_pl.avi,oddball,PL
8,ba_redu_pl.avi,oddball,PL
9,ba_redu_pl.avi,oddball,PL
10,ba_redu_pl.avi,oddball,PL
11,ba_redu_pl.avi,oddball,PL
12,ba_redu_pl.avi,oddball,PL
13,ba_redu_pl.avi,oddball,PL
14,ba_redu_pl.avi,oddball,PL
15,ba_redu_pl.avi,oddball,PL
16,ba_redu_pl.avi,oddball,PL
17,ba_redu_pl.avi,oddball,PL
18,ba_redu_pl.avi,oddball,PL
19,ba_redu_pl.avi,oddball,PL
20,ba_redu_pl.avi,oddball,PL
21,ba_redu_pl.avi,oddball,PL
22,ba_redu_pl.avi,oddball,PL
23,ba_redu_pl.avi,oddball,PL
24,ba_redu_pl.avi,oddball,PL
25,ba_redu_pl.avi,oddball,PL
26,ba_redu_pl.avi,oddball,PL
27,ba_redu_pl.avi,oddball,PL
28,ba_redu_pl.avi,oddball,PL
29,ba_redu_pl.avi,oddball,PL
30,ba_redu_pl.avi,oddball,PL
31,ba_redu_pl.avi,oddball,PL
32,ba_redu_pl.avi,oddball,PL
33,ba_redu_pl.avi,oddball,PL
34,ba_redu_pl.avi,oddball,PL
35,ba_redu_pl.avi,oddball,PL
36,ba_redu_pl.avi,oddball,PL
37,ba_redu_pl.avi,oddball,PL
38,ba_redu_pl.avi,oddball,PL
39,ba_redu_pl.avi,oddball,PL
40,ba_redu_pl.avi,oddball,PL
41,ba_redu_pl.avi,oddball,PL
42,ba_redu_pl.avi,oddball,PL
43,ba_redu_pl.avi,oddball,PL
44,ba_redu_pl.avi,oddball,PL
45,ba_redu_pl.avi,oddball,PL
46,ba_redu_pl.avi,oddball,PL
47,ba_redu_pl.avi,oddball,PL
48,ba_redu_pl.avi,oddball,PL
49,ba_redu_pl.avi,oddball,PL
50,ba_redu_pl.avi,oddball,PL
51,ba_base_pl.avi,standard,PL
52,ba_base_pl.avi,standard,PL
53,ba_base_pl.avi,standard,PL
54,ba_base_pl.avi,standard,PL
55,ba_base_pl.avi,standard,PL
56,ba_base_pl.avi,standard,PL
57,ba_base_pl.avi,standard,PL
58,ba_base_pl.avi,standard,PL
59,ba_base_pl.avi,standard,PL
60,ba_base_pl.avi,standard,PL
61,ba_base_pl.avi,standard,PL
62,ba_base_pl.avi,standard,PL
63,ba_base_pl.avi,standard,PL
64,ba_base_pl.avi,standard,PL
65,ba_base_pl.avi,standard,PL
66,ba_base_pl.avi,standard,PL
67,ba_base_pl.avi,standard,PL
68,ba_base_pl.avi,standard,PL
69,ba_base_pl.avi,standard,PL
70,ba_base_pl.avi,standard,PL
71,ba_base_pl.avi,standard,PL
72,ba_base_pl.avi,standard,PL
73,ba_base_pl.avi,standard,PL
74,ba_base_pl.avi,standard,PL
75,ba_base_pl.avi,standard,PL
76,ba_base_pl.avi,standard,PL
77,ba_base_pl.avi,standard,PL
78,ba_base_pl.avi,standard,PL
79,ba_base_pl.avi,standard,PL
80,ba_base_pl.avi,standard,PL
81,ba_base_pl.avi,standard,PL
82,ba_base_pl.avi,standard,PL
83,ba_base_pl.avi,standard,PL
84,ba_base_pl.avi,standard,PL
85,ba_base_pl.avi,standard,PL
86,ba_base_pl.avi,standard,PL
87,ba_base_pl.avi,standard,PL
88,ba_base_pl.avi,standard,PL
89,ba_base_pl.avi,standard,PL
90,ba_base_pl.avi,standard,PL
91,ba_base_pl.avi,standard,PL
92,ba_base_pl.avi,standard,PL
93,ba_base_pl.avi,standard,PL
94,ba_base_pl.avi,standard,PL
95,ba_base_pl.avi,standard,PL
96,ba_base_pl.avi,standard,PL
97,ba_base_pl.avi,standard,PL
98,ba_base_pl.avi,standard,PL
99,ba_base_pl.avi,standard,PL
100,ba_base_pl.avi,standard,PL
