Subject	BlockNum	BlockType	Trial	StimType	Sound	CorImg	RespImg	ACC	RT
1	1	noise	1	standard	ba_base_audio.wav	2	up	0	0.389
1	1	noise	2	oddball	ba_redu_audio.wav	2	left	1	0.556
1	1	noise	3	standard	ba_base_audio.wav	4	down	1	0.258
1	1	noise	4	standard	ba_base_audio.wav	3	right	0	0.226
1	1	noise	5	oddball	ba_redu_audio.wav	4	left	1	0.177
1	1	noise	6	oddball	ba_redu_audio.wav	3	up	0	0.206
1	1	noise	7	oddball	ba_redu_audio.wav	1	right	0	0.214
1	1	noise	8	oddball	ba_redu_audio.wav	1	down	0	0.156
1	2	silent	1	standard	ba_base_audio.wav	4	left	0	0.198
1	2	silent	2	oddball	ba_redu_audio.wav	1	down	0	0.232
1	2	silent	3	standard	ba_base_audio.wav	3	right	0	0.178
1	2	silent	4	standard	ba_base_audio.wav	2	up	0	0.203
1	2	silent	5	oddball	ba_redu_audio.wav	1	left	0	0.201
1	2	silent	6	oddball	ba_redu_audio.wav	3	up	0	0.249
1	2	silent	7	oddball	ba_redu_audio.wav	4	left	0	0.203
1	2	silent	8	oddball	ba_redu_audio.wav	2	right	0	0.408
