Subject	BlockNum	BlockType	Trial	StimType	Sound	CorImg	RespImg	RT
5	1	silent	1	standard	ba_base_audio.wav	4	up	0.503
5	1	silent	2	standard	ba_base_audio.wav	2	left	0.606
5	1	silent	3	oddball	ba_redu_audio.wav	3	right	0.440
5	1	silent	4	oddball	ba_redu_audio.wav	2	down	0.319
5	1	silent	5	standard	ba_base_audio.wav	3	left	0.381
5	1	silent	6	oddball	ba_redu_audio.wav	4	up	0.308
5	1	silent	7	oddball	ba_redu_audio.wav	1	right	0.290
5	1	silent	8	oddball	ba_redu_audio.wav	1	down	0.332
5	2	noise	1	standard	ba_base_audio.wav	2	1	1.008
5	2	noise	2	oddball	ba_redu_audio.wav	1	2	0.430
5	2	noise	3	standard	ba_base_audio.wav	4	3	0.373
5	2	noise	4	oddball	ba_redu_audio.wav	2	up	0.340
5	2	noise	5	oddball	ba_redu_audio.wav	3	left	0.306
5	2	noise	6	oddball	ba_redu_audio.wav	1	down	0.302
5	2	noise	7	standard	ba_base_audio.wav	3	right	0.290
5	2	noise	8	oddball	ba_redu_audio.wav	4	left	0.395
