Trial,Stimulus,StimType,StimCategory,VidWidth,VidHeight
1,ba_redu_face_w960.avi,oddball,AV,960,720
2,ba_redu_face_w960.avi,oddball,AV,960,720
3,ba_redu_face_w960.avi,oddball,AV,960,720
4,ba_redu_face_w960.avi,oddball,AV,960,720
5,ba_redu_face_w960.avi,oddball,AV,960,720
6,ba_redu_face_w960.avi,oddball,AV,960,720
7,ba_redu_face_w960.avi,oddball,AV,960,720
8,ba_redu_face_w960.avi,oddball,AV,960,720
9,ba_redu_face_w960.avi,oddball,AV,960,720
10,ba_redu_face_w960.avi,oddball,AV,960,720
11,ba_redu_face_w960.avi,oddball,AV,960,720
12,ba_redu_face_w960.avi,oddball,AV,960,720
13,ba_redu_face_w960.avi,oddball,AV,960,720
14,ba_redu_face_w960.avi,oddball,AV,960,720
15,ba_redu_face_w960.avi,oddball,AV,960,720
16,ba_redu_face_w960.avi,oddball,AV,960,720
17,ba_redu_face_w960.avi,oddball,AV,960,720
18,ba_redu_face_w960.avi,oddball,AV,960,720
19,ba_redu_face_w960.avi,oddball,AV,960,720
20,ba_redu_face_w960.avi,oddball,AV,960,720
21,ba_redu_face_w960.avi,oddball,AV,960,720
22,ba_redu_face_w960.avi,oddball,AV,960,720
23,ba_redu_face_w960.avi,oddball,AV,960,720
24,ba_redu_face_w960.avi,oddball,AV,960,720
25,ba_redu_face_w960.avi,oddball,AV,960,720
26,ba_redu_face_w960.avi,oddball,AV,960,720
27,ba_redu_face_w960.avi,oddball,AV,960,720
28,ba_redu_face_w960.avi,oddball,AV,960,720
29,ba_redu_face_w960.avi,oddball,AV,960,720
30,ba_redu_face_w960.avi,oddball,AV,960,720
31,ba_redu_face_w960.avi,oddball,AV,960,720
32,ba_redu_face_w960.avi,oddball,AV,960,720
33,ba_redu_face_w960.avi,oddball,AV,960,720
34,ba_redu_face_w960.avi,oddball,AV,960,720
35,ba_redu_face_w960.avi,oddball,AV,960,720
36,ba_redu_face_w960.avi,oddball,AV,960,720
37,ba_redu_face_w960.avi,oddball,AV,960,720
38,ba_redu_face_w960.avi,oddball,AV,960,720
39,ba_redu_face_w960.avi,oddball,AV,960,720
40,ba_redu_face_w960.avi,oddball,AV,960,720
41,ba_redu_face_w960.avi,oddball,AV,960,720
42,ba_redu_face_w960.avi,oddball,AV,960,720
43,ba_redu_face_w960.avi,oddball,AV,960,720
44,ba_redu_face_w960.avi,oddball,AV,960,720
45,ba_redu_face_w960.avi,oddball,AV,960,720
46,ba_redu_face_w960.avi,oddball,AV,960,720
47,ba_redu_face_w960.avi,oddball,AV,960,720
48,ba_redu_face_w960.avi,oddball,AV,960,720
49,ba_redu_face_w960.avi,oddball,AV,960,720
50,ba_redu_face_w960.avi,oddball,AV,960,720
51,ba_base_face_w960.avi,standard,AV,960,720
52,ba_base_face_w960.avi,standard,AV,960,720
53,ba_base_face_w960.avi,standard,AV,960,720
54,ba_base_face_w960.avi,standard,AV,960,720
55,ba_base_face_w960.avi,standard,AV,960,720
56,ba_base_face_w960.avi,standard,AV,960,720
57,ba_base_face_w960.avi,standard,AV,960,720
58,ba_base_face_w960.avi,standard,AV,960,720
59,ba_base_face_w960.avi,standard,AV,960,720
60,ba_base_face_w960.avi,standard,AV,960,720
61,ba_base_face_w960.avi,standard,AV,960,720
62,ba_base_face_w960.avi,standard,AV,960,720
63,ba_base_face_w960.avi,standard,AV,960,720
64,ba_base_face_w960.avi,standard,AV,960,720
65,ba_base_face_w960.avi,standard,AV,960,720
66,ba_base_face_w960.avi,standard,AV,960,720
67,ba_base_face_w960.avi,standard,AV,960,720
68,ba_base_face_w960.avi,standard,AV,960,720
69,ba_base_face_w960.avi,standard,AV,960,720
70,ba_base_face_w960.avi,standard,AV,960,720
71,ba_base_face_w960.avi,standard,AV,960,720
72,ba_base_face_w960.avi,standard,AV,960,720
73,ba_base_face_w960.avi,standard,AV,960,720
74,ba_base_face_w960.avi,standard,AV,960,720
75,ba_base_face_w960.avi,standard,AV,960,720
76,ba_base_face_w960.avi,standard,AV,960,720
77,ba_base_face_w960.avi,standard,AV,960,720
78,ba_base_face_w960.avi,standard,AV,960,720
79,ba_base_face_w960.avi,standard,AV,960,720
80,ba_base_face_w960.avi,standard,AV,960,720
81,ba_base_face_w960.avi,standard,AV,960,720
82,ba_base_face_w960.avi,standard,AV,960,720
83,ba_base_face_w960.avi,standard,AV,960,720
84,ba_base_face_w960.avi,standard,AV,960,720
85,ba_base_face_w960.avi,standard,AV,960,720
86,ba_base_face_w960.avi,standard,AV,960,720
87,ba_base_face_w960.avi,standard,AV,960,720
88,ba_base_face_w960.avi,standard,AV,960,720
89,ba_base_face_w960.avi,standard,AV,960,720
90,ba_base_face_w960.avi,standard,AV,960,720
91,ba_base_face_w960.avi,standard,AV,960,720
92,ba_base_face_w960.avi,standard,AV,960,720
93,ba_base_face_w960.avi,standard,AV,960,720
94,ba_base_face_w960.avi,standard,AV,960,720
95,ba_base_face_w960.avi,standard,AV,960,720
96,ba_base_face_w960.avi,standard,AV,960,720
97,ba_base_face_w960.avi,standard,AV,960,720
98,ba_base_face_w960.avi,standard,AV,960,720
99,ba_base_face_w960.avi,standard,AV,960,720
100,ba_base_face_w960.avi,standard,AV,960,720
