Trial,Sound,TargetImage,Foil1,Foil2,Foil3,StimType
1,nap,nap,cap,neck,meat,quiet
2,dog,dog,frog,dirt,wig,quiet
3,jam,jam,ham,juice,bat,quiet
4,toy,toy,boy,two,cake,quiet
5,cake,cake,bake,car,pony,quiet
6,nap,nap,cap,neck,meat,noise_easy
7,dog,dog,frog,dirt,wig,noise_easy
8,jam,jam,ham,juice,bat,noise_easy
9,toy,toy,boy,two,cake,noise_easy
10,cake,cake,bake,car,pony,noise_easy
11,nap,nap,cap,neck,meat,noise_hard
12,dog,dog,frog,dirt,wig,noise_hard
13,jam,jam,ham,juice,bat,noise_hard
14,toy,toy,boy,two,cake,noise_hard
15,cake,cake,bake,car,pony,noise_hard
